ats,tenant,url,status,jobs,checked_at
lever,043a89e8f0d2453a8f36f66042f722f3,https://jobs.lever.co/043a89e8f0d2453a8f36f66042f722f3,dead,,2026-07-27
lever,100ms,https://jobs.lever.co/100ms,live,10,2026-07-27
lever,10thmagnitude,https://jobs.lever.co/10thmagnitude,dead,,2026-07-27
lever,10up-2,https://jobs.lever.co/10up-2,dead,,2026-07-27
lever,10xgenomics,https://jobs.lever.co/10xgenomics,dead,,2026-07-27
lever,1180media,https://jobs.lever.co/1180media,dead,,2026-07-27
lever,11855760-canada-inc,https://jobs.lever.co/11855760-canada-inc,dead,,2026-07-27
lever,11fs,https://jobs.lever.co/11fs,dead,,2026-07-27
lever,15five,https://jobs.lever.co/15five,live,1,2026-07-27
lever,174powerglobal,https://jobs.lever.co/174powerglobal,dead,,2026-07-27
lever,1776,https://jobs.lever.co/1776,dead,,2026-07-27
lever,1840,https://jobs.lever.co/1840,dead,,2026-07-27
lever,18c,https://jobs.lever.co/18c,dead,,2026-07-27
lever,18f,https://jobs.lever.co/18f,dead,,2026-07-27
lever,1910genetics,https://jobs.lever.co/1910genetics,dead,,2026-07-27
lever,1build,https://jobs.lever.co/1build,dead,,2026-07-27
lever,1clickfactory,https://jobs.lever.co/1clickfactory,dead,,2026-07-27
lever,1inch,https://jobs.lever.co/1inch,live,8,2026-07-27
lever,1password,https://jobs.lever.co/1password,dead,,2026-07-27
lever,1seo,https://jobs.lever.co/1seo,dead,,2026-07-27
lever,1stmain,https://jobs.lever.co/1stmain,dead,,2026-07-27
lever,1studentbody,https://jobs.lever.co/1studentbody,dead,,2026-07-27
lever,1up-health,https://jobs.lever.co/1up-health,dead,,2026-07-27
lever,2020campaignservices,https://jobs.lever.co/2020campaignservices,dead,,2026-07-27
lever,20four7va,https://jobs.lever.co/20four7va,dead,,2026-07-27
lever,21,https://jobs.lever.co/21,dead,,2026-07-27
lever,21hhs,https://jobs.lever.co/21hhs,live,313,2026-07-27
lever,270strategies,https://jobs.lever.co/270strategies,dead,,2026-07-27
lever,2a,https://jobs.lever.co/2a,dead,,2026-07-27
lever,2brains,https://jobs.lever.co/2brains,live,10,2026-07-27
lever,2da,https://jobs.lever.co/2da,dead,,2026-07-27
lever,2os,https://jobs.lever.co/2os,live,0,2026-07-27
lever,3.0.7,https://jobs.lever.co/3.0.7,dead,,2026-08-14
lever,32co,https://jobs.lever.co/32co,dead,,2026-07-27
lever,360learning,https://jobs.lever.co/360learning,live,34,2026-07-27
lever,3box,https://jobs.lever.co/3box,dead,,2026-07-27
lever,3dhubs,https://jobs.lever.co/3dhubs,dead,,2026-07-27
lever,3dlasermapping,https://jobs.lever.co/3dlasermapping,dead,,2026-07-27
lever,3eco,https://jobs.lever.co/3eco,live,0,2026-07-27
lever,3jane,https://jobs.lever.co/3jane,live,0,2026-07-27
lever,3p,https://jobs.lever.co/3p,dead,,2026-07-27
lever,3pillargl,https://jobs.lever.co/3pillargl,dead,,2026-07-27
lever,3pillarglobal,https://jobs.lever.co/3pillarglobal,live,93,2026-07-27
lever,3ten8,https://jobs.lever.co/3ten8,dead,,2026-07-27
lever,3xmgroup,https://jobs.lever.co/3xmgroup,dead,,2026-07-27
lever,42dot,https://jobs.lever.co/42dot,live,0,2026-07-27
lever,4dmt,https://jobs.lever.co/4dmt,dead,,2026-07-27
lever,4front,https://jobs.lever.co/4front,live,2,2026-07-27
lever,4mation,https://jobs.lever.co/4mation,dead,,2026-07-27
lever,4p-people,https://jobs.lever.co/4p-people,dead,,2026-07-27
lever,4screen,https://jobs.eu.lever.co/4screen,dead,,2026-07-27
lever,4sightsupplychain,https://jobs.lever.co/4sightsupplychain,dead,,2026-07-27
lever,500,https://jobs.lever.co/500,dead,,2026-07-27
lever,522productions,https://jobs.lever.co/522productions,dead,,2026-07-27
lever,54collective,https://jobs.lever.co/54collective,dead,,2026-07-27
lever,5amventures,https://jobs.lever.co/5amventures,live,6,2026-07-27
lever,5wpr,https://jobs.lever.co/5wpr,dead,,2026-07-27
lever,5xdata,https://jobs.lever.co/5xdata,dead,,2026-07-27
lever,64xbio,https://jobs.lever.co/64xbio,dead,,2026-07-27
lever,6sensorlabs,https://jobs.lever.co/6sensorlabs,dead,,2026-07-27
lever,7-tv,https://jobs.lever.co/7-tv,dead,,2026-07-27
lever,7geese,https://jobs.lever.co/7geese,dead,,2026-07-27
lever,8bitplay,https://jobs.lever.co/8bitplay,dead,,2026-07-27
lever,8securities,https://jobs.lever.co/8securities,dead,,2026-07-27
lever,8thlight,https://jobs.lever.co/8thlight,dead,,2026-07-27
lever,8tracks,https://jobs.lever.co/8tracks,dead,,2026-07-27
lever,8x8,https://jobs.lever.co/8x8,dead,,2026-07-27
lever,90seconds,https://jobs.lever.co/90seconds,live,6,2026-07-27
lever,97thfloor,https://jobs.lever.co/97thfloor,dead,,2026-07-27
lever,98point6,https://jobs.lever.co/98point6,dead,,2026-07-27
lever,99taxis,https://jobs.lever.co/99taxis,dead,,2026-07-27
lever,9gag,https://jobs.lever.co/9gag,dead,,2026-07-27
lever,Allma.IO,https://jobs.lever.co/Allma.IO,dead,,2026-08-14
lever,Breakr,https://jobs.lever.co/Breakr,dead,,2026-08-14
lever,CollectlyInc.,https://jobs.lever.co/CollectlyInc.,dead,,2026-08-14
lever,CorvusRobotics,https://jobs.lever.co/CorvusRobotics,dead,,2026-08-14
lever,Decile,https://jobs.lever.co/Decile,dead,,2026-08-14
lever,Equideum.Health,https://jobs.lever.co/Equideum.Health,dead,,2026-08-14
lever,Giant.AI,https://jobs.lever.co/Giant.AI,dead,,2026-08-14
lever,Lotic.ai,https://jobs.lever.co/Lotic.ai,dead,,2026-08-14
lever,Nft.com,https://jobs.lever.co/Nft.com,dead,,2026-08-14
lever,NoHoPartners,https://jobs.lever.co/NoHoPartners,dead,,2026-08-14
lever,OmniML.ai,https://jobs.lever.co/OmniML.ai,dead,,2026-08-14
lever,Plainsight.AI,https://jobs.lever.co/Plainsight.AI,dead,,2026-08-14
lever,TOP_agency,https://jobs.lever.co/TOP_agency,dead,,2026-08-14
lever,a,https://jobs.lever.co/a,dead,,2026-07-27
lever,a16z,https://jobs.lever.co/a16z,dead,,2026-07-27
lever,aaf,https://jobs.lever.co/aaf,dead,,2026-07-27
lever,aalto,https://jobs.lever.co/aalto,dead,,2026-07-27
lever,aave,https://jobs.eu.lever.co/aave,dead,,2026-07-27
lever,aavelabs,https://jobs.eu.lever.co/aavelabs,live,10,2026-07-03
lever,ab-soft,https://jobs.lever.co/ab-soft,dead,,2026-07-27
lever,abacus,https://jobs.lever.co/abacus,dead,,2026-07-27
lever,abatatherapeutics,https://jobs.lever.co/abatatherapeutics,dead,,2026-07-27
lever,abc123,https://jobs.lever.co/abc123,dead,,2026-07-27
lever,abchome,https://jobs.lever.co/abchome,dead,,2026-07-27
lever,abelsontaylor,https://jobs.lever.co/abelsontaylor,dead,,2026-07-27
lever,abillion,https://jobs.lever.co/abillion,dead,,2026-07-27
lever,ableserve,https://jobs.lever.co/ableserve,live,57,2026-07-27
lever,ablspacesystems,https://jobs.lever.co/ablspacesystems,dead,,2026-07-27
lever,abodu,https://jobs.lever.co/abodu,dead,,2026-07-27
